ID,name,surname,birthNumber,active,Branch
1,Charlize,Vaughn,483-888-742,TRUE,6067
2,Grace,Reynolds,827-223-112,TRUE,3432
3,Melanie,Greenwood,132-723-140,FALSE,4398
4,Quinn,Summers,430-745-578,TRUE,4052
5,Liliana,Bryant,508-164-027,FALSE,5132
6,Denny,Hunt,576-863-067,TRUE,4419
7,Meredith,Casey,116-171-266,FALSE,4405
8,Holly,Yarwood,012-687-310,FALSE,4987
9,Priscilla,Tanner,657-727-572,FALSE,9666
10,Teagan,Wright,105-761-072,FALSE,1021
11,Carl,Rehman,205-135-283,FALSE,8477
12,Anthony,Gibbons,618-626-125,TRUE,1577
13,Alessandra,Varndell,078-362-545,TRUE,6103
14,Hank,Stark,836-636-773,TRUE,5158
15,Willow,Stark,604-560-714,TRUE,8454
16,Melania,Shea,523-166-467,TRUE,7368
17,Piper,Beal,733-680-715,FALSE,5690
18,Thea,Rigg,133-306-731,TRUE,8230
19,Jocelyn,Jennson,107-727-662,FALSE,2774
20,Rocco,Gray,807-052-175,TRUE,5298
21,Allison,Oliver,704-678-468,FALSE,2179
22,Chanelle,Shepherd,120-885-557,TRUE,5260
23,Sage,Uddin,102-575-350,FALSE,3867
24,Ryan,Gosling,835-824-220,TRUE,2810
25,Danielle,Squire,680-837-486,FALSE,1256
26,Anais,Uddin,627-167-326,TRUE,6076
27,Cedrick,York,175-014-857,FALSE,560
28,Regina,Craig,306-181-536,FALSE,7440
29,Lindsay,Morris,020-050-086,FALSE,1381
30,Carol,Coates,833-772-143,TRUE,2051
31,Clint,Hill,720-371-183,TRUE,8317
32,Manuel,Hooper,482-524-451,TRUE,9676
33,Mabel,Brooks,175-583-431,FALSE,4247
34,Adela,Bishop,042-457-087,TRUE,9033
35,Sydney,Hardwick,006-688-440,TRUE,5616
36,Joseph,Veale,134-212-323,FALSE,4975
37,Owen,Edley,272-253-873,TRUE,91
38,Nick,Gibbons,863-018-775,TRUE,8695
39,Bob,Walsh,836-603-026,TRUE,3589
40,Julian,Reese,878-777-722,FALSE,5674
41,Bryon,Veale,377-527-653,FALSE,9485
42,Miriam,Simmons,234-211-238,FALSE,9350
43,Hayden,Bell,566-667-328,FALSE,3816
44,Marvin,Gibson,480-526-145,TRUE,7607
45,Gil,John,703-387-642,FALSE,9467
46,Johnathan,Dale,321-220-065,FALSE,8907
47,Alma,Hunter,162-828-528,FALSE,1372
48,Bob,Wright,538-171-753,TRUE,635
49,Mara,Mcnally,686-150-026,TRUE,3193
50,Daron,Sloan,804-372-683,FALSE,5668
51,Russel,Morris,140-678-502,FALSE,8652
52,Marigold,Maxwell,848-836-801,TRUE,9448
53,Tyler,Stevens,041-228-617,TRUE,2864
54,Ramon,Collis,156-638-413,FALSE,6198
55,Marjorie,Mills,044-868-668,TRUE,8297
56,Ronald,Thornton,515-086-815,FALSE,7399
57,Bob,Wood,247-621-687,TRUE,8508
58,Daniel,Mitchell,324-257-602,FALSE,8286
59,Daron,Walsh,251-421-326,TRUE,9316
60,Elijah,Shaw,623-608-113,TRUE,4014
61,Aisha,Lane,473-812-308,TRUE,1136
62,Makena,Calderwood,444-515-060,FALSE,4454
63,Caleb,Cann,610-884-156,FALSE,650
64,Boris,Tyrrell,577-715-213,FALSE,8872
65,Danny,Clarkson,028-345-385,FALSE,2131
66,Wendy,Johnson,221-785-828,TRUE,8607
67,Mark,Coates,110-254-144,FALSE,9373
68,Joyce,Kirby,228-058-782,TRUE,65
69,Emely,Collins,061-108-014,TRUE,2048
70,Jayden,Stanley,375-734-572,FALSE,2999
71,Eduardo,Barclay,042-710-783,TRUE,1200
72,Bryon,Coll,628-600-684,FALSE,7801
73,Makena,Olivier,586-618-138,TRUE,3302
74,Caydence,Lewis,746-032-456,FALSE,1932
75,Michael,Hopkins,116-438-443,FALSE,1150
76,Phillip,Skinner,414-750-082,TRUE,1115
77,Peter,Harrison,180-857-156,TRUE,4300
78,Tania,Morris,815-354-306,TRUE,625
79,Denis,Walter,845-884-066,FALSE,940
80,Meredith,Crawley,336-618-440,FALSE,9644
81,Maria,Newman,605-348-087,FALSE,1688
82,Rosa,Duvall,023-261-730,FALSE,1362
83,Rosalie,Cunningham,131-751-027,TRUE,8644
84,Bryon,Mitchell,442-565-807,FALSE,5156
85,Harriet,Mason,202-512-336,FALSE,2896
86,Grace,Owens,777-232-865,FALSE,4331
87,Jazmin,Boden,610-321-038,TRUE,3309
88,Wade,Stone,785-675-557,TRUE,8774
89,Madelyn,Bell,684-552-084,TRUE,4461
90,Domenic,Ashwell,486-777-053,TRUE,3469
91,Daniel,Fox,485-707-743,TRUE,9785
92,Chadwick,Richards,617-363-230,FALSE,1700
93,Angela,Mills,341-284-606,FALSE,4349
94,Tiffany,Ralph,358-167-431,FALSE,1880
95,Rhea,Eastwood,551-327-763,TRUE,244
96,Carl,Durrant,362-804-658,FALSE,1572
97,Daniel,Downing,048-263-177,FALSE,7111
98,Freya,Casey,463-035-843,TRUE,1062
99,Natalie,Osman,225-675-426,TRUE,9007
100,David,Norburn,883-553-528,TRUE,7087
101,Cedrick,Murray,883-667-181,TRUE,3803
102,Henry,Crawley,274-635-875,FALSE,4731
103,Julian,Vangness,654-223-746,FALSE,1943
104,Gil,Wright,085-701-520,TRUE,8874
105,Peyton,Paterson,584-273-841,FALSE,9330
106,Holly,Rogers,726-525-664,TRUE,7750
107,Liam,Nicolas,718-575-056,TRUE,5470
108,Jacob,Riley,402-840-833,TRUE,2211
109,Ruby,Gaynor,148-082-364,FALSE,9055
110,Caleb,Flynn,778-036-240,TRUE,2001
111,Blake,Giles,185-472-033,FALSE,4364
112,Danny,Rowan,680-026-372,TRUE,4889
113,Mark,Grady,728-185-440,TRUE,8242
114,Anthony,Cobb,132-322-330,TRUE,3287
115,Payton,Lewis,616-871-274,TRUE,8987
116,John,Walker,023-648-024,FALSE,2964
117,Erick,Tanner,184-784-157,FALSE,9361
118,David,Atkinson,861-648-162,FALSE,6689
119,Jennifer,Moore,588-112-188,TRUE,9140
120,Margaret,Widdows,818-285-578,FALSE,4878
121,Mike,Brown,561-874-417,TRUE,1889
122,Chloe,Watson,586-837-058,TRUE,6054
123,Ramon,Lynch,368-546-365,FALSE,5670
124,Bart,Patel,717-082-580,FALSE,9689
125,Kieth,Wooldridge,367-563-850,FALSE,9065
126,Rebecca,Newman,812-848-880,FALSE,8906
127,Bree,Mcguire,432-317-553,FALSE,648
128,Aileen,Shaw,307-636-723,TRUE,8330
129,Carl,Tailor,208-260-658,FALSE,9285
130,Sara,Rosenbloom,250-443-854,FALSE,6797
131,Summer,Andersson,007-085-205,FALSE,2557
132,Gloria,Mackenzie,721-443-873,FALSE,9159
133,Juliet,Williams,214-627-818,TRUE,5506
134,Susan,Edley,744-503-344,FALSE,9856
135,Ally,Anderson,636-665-282,TRUE,3794
136,Daniel,Bolton,616-743-575,FALSE,6282
137,Abdul,Whittle,734-640-581,FALSE,6412
138,Jayden,Vallins,256-448-665,FALSE,2490
139,Phillip,Craig,044-083-846,TRUE,9749
140,Marjorie,Lloyd,423-552-541,FALSE,6833
141,Gil,Nurton,205-116-128,TRUE,4671
142,Dasha,Atkinson,134-461-084,TRUE,2556
143,William,Knight,406-832-070,FALSE,1948
144,Bob,Spencer,632-407-480,FALSE,7465
145,Goldie,Dunbar,801-752-132,TRUE,7529
146,Ally,Potter,107-046-804,TRUE,3297
147,Jolene,Ashwell,447-376-213,TRUE,5590
148,Alan,Wigley,532-336-426,TRUE,7209
149,William,Bingham,251-334-816,FALSE,7108
150,Hayden,Eagle,775-700-710,FALSE,7380
151,Henry,Wilson,840-606-304,FALSE,370
152,Brooklyn,Butler,120-765-517,TRUE,6088
153,Josh,Isaac,015-202-314,TRUE,932
154,Matt,Kent,840-315-747,TRUE,3305
155,Maxwell,Norris,241-063-765,FALSE,1047
156,Alan,Robinson,653-670-725,TRUE,4672
157,Rufus,Thomson,007-164-010,FALSE,1992
158,Alessia,Harrison,616-335-158,TRUE,721
